uniprot_id	ncbi_gene	gene_name	gene_description	gene_aliases	pmid	year	in_title	fraction_mentions	total_genes	journal	full_text	title
A0A1B0GTL2	284739	C20orf204 {ECO:0000312|HGNC:HGNC:27655}	chromosome 20 open reading frame 204	LINC00176, NCRNA00176, PRR17	28869604	2018	True	0.5385	4	Oncogene	False	Myc target gene, long intergenic noncoding RNA, Linc00176 in hepatocellular carcinoma regulates cell cycle and cell survival by titrating tumor suppressor microRNAs.
A0A1B0GTL2	284739	C20orf204 {ECO:0000312|HGNC:HGNC:27655}	chromosome 20 open reading frame 204	LINC00176, NCRNA00176, PRR17	31668012	2020	True	0.3954	22	J Cell Mol Med	True	Knockdown of long non-coding RNA LINC00176 suppresses ovarian cancer progression by BCL3-mediated down-regulation of ceruloplasmin Knockdown of long non-coding RNA LINC00176 suppresses ovarian cancer by BCL3-mediated down-regulation of ceruloplasmin
A0A1B0GTL2	284739	C20orf204 {ECO:0000312|HGNC:HGNC:27655}	chromosome 20 open reading frame 204	LINC00176, NCRNA00176, PRR17	33813201	2021	True	0.3571	5	Mol Immunol	False	LINC00176 facilitates CD4+T cell adhesion in systemic lupus erythematosus via the WNT5a signaling pathway by regulating WIF1.
A0A1B0GTL2	284739	C20orf204 {ECO:0000312|HGNC:HGNC:27655}	chromosome 20 open reading frame 204	LINC00176, NCRNA00176, PRR17	37283188	2023	False	0.5	3	Mol Cell Biol	False	"The ""LINC"" between Delta40p53-miRNA Axis in the Regulation of Cellular Homeostasis."
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	34325607	2022	True	1.0	1	Immunol Invest	False	Psoriasis Susceptibility 1 Candidate 1 (PSORS1C1) Polymorphism is Associated with Autoimmune Thyroid Disease in a Chinese Han Population.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	15301859	2004	True	1.0	1	Hum Immunol	False	Association of SEEK1 polymorphisms in Crohn's disease.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	15708881	2005	True	0.8182	2	Ann Rheum Dis	False	Association of SEEK1 and psoriatic arthritis in two distinct Canadian populations.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	16029332	2005	True	0.7143	3	Br J Dermatol	False	A study of PSORS1C1 gene polymorphisms in Chinese patients with psoriasis.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	23769905	2013	True	0.6111	4	Immunol Lett	False	PSORS1C1 may be involved in rheumatoid arthritis.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	24210685	2014	True	0.5	2	Joint Bone Spine	False	PSORS1C1/CDSN is associated with ankylosing spondylitis.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	29387007	2018	True	0.4478	15	Front Pharmacol	True	PSORS1C1 Hypomethylation Is Associated with Allopurinol-Induced Severe Cutaneous Adverse Reactions during Disease Onset Period: A Multicenter Retrospective Case-Control Clinical Study in Han Chinese
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	22896740	2013	True	0.3077	3	Ann Rheum Dis	False	Confirmation of TNIP1 but not RHOB and PSORS1C1 as systemic sclerosis risk factors in a large independent replication study.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	34414410	2021	False	0.5	2	Brief Bioinform	False	Detecting methylation quantitative trait loci using a methylation random field method.
Q9UIG5	170679	PSORS1C1	psoriasis susceptibility 1 candidate 1	C6orf16, SEEK1	35626191	2022	False	0.3506	8	Diagnostics (Basel)	True	PSORS1 Locus Genotyping Profile in Psoriasis: A Pilot Case-Control Study
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	33338509	2021	True	1.0	1	Gene	False	Expression of ERV3-1 in leukocytes of acute myelogenous leukemia patients.
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	33691904	2021	True	0.962	2	BMB Rep	True	Expression profiles of human endogenous retrovirus (HERV)-K and HERV-R Env proteins in various cancers
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	36308324	2022	True	0.9091	2	J Antimicrob Chemother	True	EnvR is a potent repressor of acrAB transcription in Salmonella
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	39122243	2024	True	0.75	7	Int J Immunopathol Pharmacol	True	HERV-K np9 and HERV-R env: Two endogenous retrovirus products with potential Pathogenic roles in pediatric acute lymphoblastic leukemia
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	32040616	2020	False	1.0	1	Med Microbiol Immunol	False	Human endogenous retroviruses env gene expression and long terminal repeat methylation in colorectal cancer patients.
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	36434280	2023	False	0.8	2	Eur J Clin Microbiol Infect Dis	True	Human bocavirus-1 infections in Australian children aged < 2 years: a birth cohort study
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	36054626	2022	False	0.7838	7	Environ Mol Mutagen	True	Bisphenols induce human genomic damage and modulate HERVs/env expression
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	32849989	2020	False	0.6667	2	Pan Afr Med J	True	Rapid detection of Mycobacterium tuberculosis complex by real-time polymerase chain reaction (PCR) in pulmonary and extra-pulmonary samples in Casablanca, Morocco
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	39605676	2024	False	0.5	2	bioRxiv	False	 Single-cell epigenetic profiling reveals an interferon response-high program associated with BAP1 deficiency in kidney cancer 
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	33784369	2021	False	0.5	2	PLoS One	True	Improved sensitivity, safety, and rapidity of COVID-19 tests by replacing viral storage solution with lysis buffer
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	33619081	2021	False	0.5	2	Sci Transl Med	True	Lessons from applied large-scale pooling of 133,816 SARS-CoV-2 RT-PCR tests
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	37624343	2023	False	0.5	3	Trop Med Infect Dis	True	Parasite Detection in Visceral Leishmaniasis Samples by Dye-Based qPCR Using New Gene Targets of Leishmania infantum and Crithidia
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	36316924	2022	False	0.5	4	Medicine (Baltimore)	True	Prevalence of oral Epstein-Barr virus and Porphyromonas gingivalis and their association with periodontal inflamed surface area: A cross-sectional study
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	33203699	2021	False	0.4	4	Cancer Res	False	Decitabine Induces Gene Derepression on Monosomic Chromosomes: In Vitro and In Vivo Effects in Adverse-Risk Cytogenetics AML.
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	35359384	2022	False	0.4	5	Front Oncol	True	Editorial: Unravelling the Role of HERVs in Cancer: Insights and New Targets for Therapy
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	39848689	2025	False	0.3565	64	J Immunother Cancer	True	Stratification system with dual human endogenous retroviruses for predicting immunotherapy efficacy in metastatic clear-cell renal cell carcinoma
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	33996550	2021	False	0.3407	22	Front Oncol	True	Identification of Differentially Expressed Human Endogenous Retrovirus Families in Human Leukemia and Lymphoma Cell Lines and Stem Cells
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	39531296	2024	False	0.3333	3	Adv Gerontol	False	[Epigenetic mechanisms of the interrelations of osteoarthritis with aging.]
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	37671813	2023	False	0.3333	5	Pediatr Pulmonol	True	Association of rhinovirus and potentially pathogenic bacterial detections in the first 3 months of life with subsequent wheezing in childhood
Q14264	2086	ERV3-1	endogenous retrovirus group 3 member 1, envelope	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	32785870	2020	False	0.3125	2	Genes Genomics	False	Analysis of KAP1 expression patterns and human endogenous retrovirus Env proteins in ovarian cancer.
Q8N2R8	131583	FAM43A	family with sequence similarity 43 member A		39868925	2025	True	0.5714	3	J Cell Biol	False	FAM43A coordinates mtDNA replication and mitochondrial biogenesis in response to mtDNA depletion.
Q8N2R8	131583	FAM43A	family with sequence similarity 43 member A		24801482	2014	False	0.3611	10	PLoS One	True	A Genome Wide Association Study of Mathematical Ability Reveals an Association at Chromosome 3q29, a Locus Associated with Autism and Learning Difficulties: A Preliminary Study
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	39240021	2024	True	1.0	1	RNA Biol	False	Significance of VLPs in Vlp-circRNA vaccines: a vaccine candidate or delivery vehicle?
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	31485743	2019	True	0.5	3	Amino Acids	False	Insights into the molecular features of the von Hippel-Lindau-like protein.
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	30240834	2018	False	1.0	1	Infect Genet Evol	False	Genome-wide analysis of Borrelia turcica and 'Candidatus Borrelia tachyglossi' shows relapsing fever-like genomes with unique genomic links to Lyme disease Borrelia.
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	21306638	2011	False	0.8235	6	Virol J	True	A novel HPV 16 L1-based chimeric virus-like particle containing E6 and E7 seroreactive epitopes permits highly specific detection of antibodies in patients with CIN 1 and HPV-16 infection
Q6RSH7	391104	VHLL	VHL like	VHLP, VLP	24074276	2013	False	0.766	7	Nanoscale Res Lett	True	Self-assembled HCV core virus-like particles targeted and inhibited tumor cell migration and invasion
